,path,letter
0,datasets/asl_alphabet_train/asl_alphabet_train/E/E2925.jpg,E
1,datasets/asl_alphabet_train/asl_alphabet_train/L/L1924.jpg,L
2,datasets/asl_alphabet_train/asl_alphabet_train/X/X2282.jpg,X
3,datasets/asl_alphabet_train/asl_alphabet_train/K/K2024.jpg,K
4,datasets/asl_alphabet_train/asl_alphabet_train/F/F2802.jpg,F
5,datasets/asl_alphabet_train/asl_alphabet_train/J/J798.jpg,J
6,datasets/asl_alphabet_train/asl_alphabet_train/X/X606.jpg,X
7,datasets/asl_alphabet_train/asl_alphabet_train/C/C199.jpg,C
8,datasets/asl_alphabet_train/asl_alphabet_train/P/P31.jpg,P
9,datasets/asl_alphabet_train/asl_alphabet_train/V/V742.jpg,V
10,datasets/asl_alphabet_train/asl_alphabet_train/S/S724.jpg,S
11,datasets/asl_alphabet_train/asl_alphabet_train/W/W1295.jpg,W
12,datasets/asl_alphabet_train/asl_alphabet_train/V/V90.jpg,V
13,datasets/asl_alphabet_train/asl_alphabet_train/F/F2116.jpg,F
14,datasets/asl_alphabet_train/asl_alphabet_train/del/del1732.jpg,del
15,datasets/asl_alphabet_train/asl_alphabet_train/S/S554.jpg,S
16,datasets/asl_alphabet_train/asl_alphabet_train/M/M1654.jpg,M
17,datasets/asl_alphabet_train/asl_alphabet_train/B/B139.jpg,B
18,datasets/asl_alphabet_train/asl_alphabet_train/M/M1768.jpg,M
19,datasets/asl_alphabet_train/asl_alphabet_train/H/H811.jpg,H
20,datasets/asl_alphabet_train/asl_alphabet_train/E/E622.jpg,E
21,datasets/asl_alphabet_train/asl_alphabet_train/I/I2370.jpg,I
22,datasets/asl_alphabet_train/asl_alphabet_train/M/M1532.jpg,M
23,datasets/asl_alphabet_train/asl_alphabet_train/nothing/nothing1473.jpg,nothing
24,datasets/asl_alphabet_train/asl_alphabet_train/A/A1630.jpg,A
25,datasets/asl_alphabet_train/asl_alphabet_train/D/D2791.jpg,D
26,datasets/asl_alphabet_train/asl_alphabet_train/A/A2318.jpg,A
27,datasets/asl_alphabet_train/asl_alphabet_train/J/J2885.jpg,J
28,datasets/asl_alphabet_train/asl_alphabet_train/Y/Y682.jpg,Y
29,datasets/asl_alphabet_train/asl_alphabet_train/A/A870.jpg,A
30,datasets/asl_alphabet_train/asl_alphabet_train/R/R446.jpg,R
31,datasets/asl_alphabet_train/asl_alphabet_train/Z/Z638.jpg,Z
32,datasets/asl_alphabet_train/asl_alphabet_train/P/P2186.jpg,P
33,datasets/asl_alphabet_train/asl_alphabet_train/F/F356.jpg,F
34,datasets/asl_alphabet_train/asl_alphabet_train/D/D2178.jpg,D
35,datasets/asl_alphabet_train/asl_alphabet_train/M/M373.jpg,M
36,datasets/asl_alphabet_train/asl_alphabet_train/B/B1800.jpg,B
37,datasets/asl_alphabet_train/asl_alphabet_train/K/K1709.jpg,K
38,datasets/asl_alphabet_train/asl_alphabet_train/nothing/nothing2224.jpg,nothing
39,datasets/asl_alphabet_train/asl_alphabet_train/J/J2553.jpg,J
40,datasets/asl_alphabet_train/asl_alphabet_train/Y/Y1222.jpg,Y
41,datasets/asl_alphabet_train/asl_alphabet_train/K/K691.jpg,K
42,datasets/asl_alphabet_train/asl_alphabet_train/B/B2941.jpg,B
43,datasets/asl_alphabet_train/asl_alphabet_train/M/M1017.jpg,M
44,datasets/asl_alphabet_train/asl_alphabet_train/nothing/nothing2106.jpg,nothing
45,datasets/asl_alphabet_train/asl_alphabet_train/J/J576.jpg,J
46,datasets/asl_alphabet_train/asl_alphabet_train/H/H2925.jpg,H
47,datasets/asl_alphabet_train/asl_alphabet_train/Z/Z2999.jpg,Z
48,datasets/asl_alphabet_train/asl_alphabet_train/F/F2492.jpg,F
49,datasets/asl_alphabet_train/asl_alphabet_train/L/L1395.jpg,L
50,datasets/asl_alphabet_train/asl_alphabet_train/W/W1506.jpg,W
51,datasets/asl_alphabet_train/asl_alphabet_train/N/N2759.jpg,N
52,datasets/asl_alphabet_train/asl_alphabet_train/J/J1560.jpg,J
53,datasets/asl_alphabet_train/asl_alphabet_train/Y/Y1933.jpg,Y
54,datasets/asl_alphabet_train/asl_alphabet_train/S/S1110.jpg,S
55,datasets/asl_alphabet_train/asl_alphabet_train/U/U1959.jpg,U
56,datasets/asl_alphabet_train/asl_alphabet_train/D/D2144.jpg,D
57,datasets/asl_alphabet_train/asl_alphabet_train/A/A2304.jpg,A
58,datasets/asl_alphabet_train/asl_alphabet_train/L/L1448.jpg,L
59,datasets/asl_alphabet_train/asl_alphabet_train/A/A2820.jpg,A
60,datasets/asl_alphabet_train/asl_alphabet_train/Y/Y801.jpg,Y
61,datasets/asl_alphabet_train/asl_alphabet_train/Z/Z989.jpg,Z
62,datasets/asl_alphabet_train/asl_alphabet_train/C/C897.jpg,C
